timestamp_ms, ax_mps2, ay_mps2, az_mps2, gx_rads, gy_rads, gz_rads, temp_c
3611,0.077,-0.493,10.079,-0.015,-0.001,-0.027,26.250
3621,0.067,-0.502,10.107,-0.013,0.007,-0.024,26.250
3631,0.038,-0.507,10.069,-0.015,0.001,-0.026,26.250
3641,0.067,-0.493,10.069,-0.013,0.005,-0.027,26.250
3651,0.048,-0.493,10.083,-0.012,0.005,-0.027,26.215
3661,0.038,-0.493,10.064,-0.011,0.005,-0.026,26.215
3671,0.062,-0.507,10.093,-0.011,0.007,-0.026,26.289
3681,0.038,-0.507,10.083,-0.011,0.009,-0.026,26.289
3691,0.048,-0.498,10.088,-0.011,0.009,-0.026,26.262
3701,0.053,-0.526,10.088,-0.011,0.009,-0.026,26.262
3711,0.043,-0.474,10.079,-0.011,0.010,-0.026,26.254
3721,0.057,-0.493,10.050,-0.012,0.007,-0.026,26.254
3731,0.062,-0.483,10.126,-0.012,0.007,-0.027,26.238
3741,0.053,-0.483,10.074,-0.012,0.007,-0.027,26.238
3751,0.057,-0.498,10.088,-0.012,0.005,-0.027,26.227
3761,0.067,-0.498,10.098,-0.013,0.006,-0.027,26.227
3771,0.057,-0.507,10.098,-0.013,0.006,-0.027,26.270
3781,0.048,-0.493,10.055,-0.012,0.006,-0.027,26.270
3791,0.057,-0.498,10.079,-0.012,0.006,-0.027,26.250
3801,0.057,-0.502,10.064,-0.012,0.006,-0.027,26.250
3811,0.077,-0.531,10.083,-0.012,0.006,-0.027,26.191
3821,0.072,-0.502,10.107,-0.011,0.006,-0.027,26.191
3831,0.072,-0.502,10.098,-0.013,0.005,-0.026,26.250
3841,0.048,-0.493,10.093,-0.013,0.007,-0.026,26.250
3851,0.038,-0.507,10.069,-0.012,0.007,-0.026,26.262
3861,0.053,-0.488,10.079,-0.012,0.006,-0.026,26.262
3871,0.029,-0.493,10.098,-0.012,0.006,-0.026,26.219
3881,0.057,-0.498,10.098,-0.012,0.006,-0.026,26.219
3891,0.048,-0.488,10.112,-0.012,0.007,-0.026,26.223
3901,0.038,-0.483,10.079,-0.012,0.006,-0.026,26.223
3911,0.057,-0.488,10.088,-0.012,0.006,-0.026,26.230
3921,0.048,-0.498,10.074,-0.012,0.006,-0.027,26.230
3931,0.057,-0.488,10.083,-0.011,0.006,-0.027,26.250
3941,0.072,-0.502,10.098,-0.012,0.005,-0.027,26.250
3951,0.057,-0.502,10.112,-0.012,0.007,-0.027,26.215
3961,0.081,-0.498,10.083,-0.012,0.006,-0.027,26.215
3971,0.053,-0.517,10.088,-0.011,0.006,-0.027,26.211
3981,0.062,-0.493,10.074,-0.013,0.005,-0.027,26.211
3991,0.057,-0.526,10.088,-0.012,0.006,-0.027,26.211
4001,0.033,-0.488,10.102,-0.012,0.005,-0.027,26.211
4011,0.053,-0.498,10.112,-0.013,0.006,-0.027,26.238
4021,0.072,-0.483,10.093,-0.012,0.006,-0.026,26.238
4031,0.048,-0.502,10.079,-0.012,0.006,-0.027,26.266
4041,0.077,-0.502,10.083,-0.012,0.006,-0.027,26.266
4051,0.053,-0.483,10.083,-0.012,0.006,-0.027,26.207
4061,0.043,-0.493,10.083,-0.012,0.007,-0.027,26.207
4071,0.043,-0.498,10.074,-0.012,0.006,-0.026,26.242
4081,0.062,-0.483,10.083,-0.012,0.006,-0.027,26.242
4091,0.057,-0.493,10.083,-0.013,0.006,-0.027,26.215
4101,0.057,-0.493,10.088,-0.013,0.006,-0.027,26.215
4111,0.038,-0.488,10.093,-0.013,0.006,-0.027,26.250
4121,0.062,-0.493,10.088,-0.012,0.006,-0.027,26.250
4131,0.048,-0.483,10.079,-0.012,0.007,-0.027,26.242
4141,0.038,-0.488,10.083,-0.012,0.006,-0.027,26.242
4151,0.048,-0.512,10.093,-0.012,0.006,-0.026,26.227
4161,0.062,-0.488,10.098,-0.013,0.006,-0.027,26.227
4181,0.067,-0.502,10.069,-0.012,0.006,-0.027,26.234
4191,0.072,-0.493,10.088,-0.012,0.005,-0.027,26.234
4201,0.057,-0.517,10.079,-0.012,0.006,-0.026,26.227
4211,0.067,-0.493,10.083,-0.012,0.006,-0.026,26.227
4221,0.053,-0.512,10.098,-0.011,0.006,-0.027,26.211
4231,0.038,-0.488,10.093,-0.012,0.005,-0.027,26.211
4241,0.048,-0.479,10.083,-0.012,0.006,-0.027,26.227
4251,0.038,-0.493,10.079,-0.012,0.006,-0.027,26.227
4261,0.029,-0.474,10.088,-0.012,0.006,-0.027,26.234
4271,0.043,-0.483,10.088,-0.012,0.006,-0.027,26.234
4281,0.048,-0.488,10.069,-0.012,0.006,-0.027,26.227
4291,0.048,-0.483,10.098,-0.013,0.005,-0.027,26.227
4301,0.062,-0.498,10.098,-0.012,0.006,-0.027,26.266
4311,0.067,-0.502,10.083,-0.012,0.007,-0.027,26.266
4321,0.029,-0.517,10.074,-0.013,0.006,-0.027,26.230
4331,0.048,-0.502,10.074,-0.012,0.005,-0.027,26.230
4341,0.067,-0.488,10.083,-0.012,0.006,-0.027,26.242
4351,0.029,-0.488,10.093,-0.012,0.006,-0.027,26.242
4361,0.048,-0.493,10.112,-0.012,0.005,-0.028,26.270
4371,0.048,-0.502,10.093,-0.012,0.005,-0.027,26.270
4381,0.067,-0.498,10.093,-0.012,0.005,-0.027,26.262
4391,0.062,-0.502,10.093,-0.013,0.006,-0.027,26.262
4401,0.053,-0.483,10.093,-0.012,0.006,-0.027,26.211
4411,0.072,-0.493,10.093,-0.012,0.006,-0.027,26.211
4421,0.048,-0.502,10.102,-0.012,0.006,-0.027,26.215
4431,0.053,-0.493,10.093,-0.012,0.005,-0.027,26.215
4441,0.072,-0.517,10.083,-0.012,0.005,-0.026,26.219
4451,0.038,-0.493,10.083,-0.012,0.005,-0.027,26.219
4461,0.053,-0.512,10.093,-0.013,0.006,-0.027,26.211
4471,0.053,-0.502,10.074,-0.012,0.006,-0.027,26.211
4481,0.053,-0.498,10.083,-0.012,0.006,-0.027,26.211
4491,0.043,-0.507,10.083,-0.012,0.005,-0.027,26.211
4501,0.053,-0.479,10.069,-0.011,0.006,-0.027,26.219
4511,0.053,-0.493,10.088,-0.012,0.005,-0.027,26.219
4521,0.062,-0.493,10.083,-0.011,0.006,-0.027,26.246
4531,0.067,-0.474,10.064,-0.013,0.005,-0.027,26.246
4541,0.048,-0.479,10.093,-0.012,0.006,-0.027,26.246
4551,0.053,-0.483,10.098,-0.013,0.006,-0.027,26.246
4561,0.062,-0.493,10.069,-0.012,0.006,-0.027,26.250
4571,0.057,-0.507,10.069,-0.012,0.006,-0.028,26.250
4581,0.057,-0.507,10.064,-0.013,0.006,-0.027,26.242
4591,0.072,-0.502,10.074,-0.012,0.006,-0.027,26.242
4601,0.062,-0.488,10.069,-0.013,0.006,-0.026,26.211
4611,0.053,-0.502,10.093,-0.012,0.006,-0.027,26.211
4621,0.057,-0.507,10.088,-0.013,0.006,-0.028,26.207
4631,0.043,-0.498,10.083,-0.012,0.006,-0.027,26.207
4641,0.043,-0.507,10.088,-0.012,0.006,-0.027,26.234
4651,0.057,-0.526,10.088,-0.012,0.005,-0.027,26.234
4661,0.043,-0.507,10.083,-0.012,0.005,-0.027,26.242
4671,0.043,-0.522,10.088,-0.012,0.006,-0.027,26.242
4681,0.057,-0.507,10.079,-0.012,0.006,-0.027,26.242
4691,0.062,-0.498,10.098,-0.013,0.006,-0.026,26.242
4701,0.048,-0.488,10.102,-0.012,0.006,-0.027,26.250
4711,0.086,-0.483,10.088,-0.012,0.006,-0.026,26.250
4721,0.072,-0.479,10.079,-0.012,0.006,-0.027,26.246
4731,0.043,-0.488,10.055,-0.012,0.007,-0.027,26.246
4741,0.081,-0.493,10.083,-0.012,0.006,-0.027,26.227
4751,0.062,-0.479,10.079,-0.012,0.006,-0.027,26.227
4761,0.067,-0.502,10.083,-0.012,0.006,-0.027,26.246
4771,0.072,-0.507,10.098,-0.012,0.005,-0.027,26.246
4781,0.033,-0.522,10.083,-0.011,0.005,-0.027,26.211
4791,0.053,-0.493,10.083,-0.012,0.006,-0.027,26.211
4801,0.043,-0.502,10.088,-0.012,0.006,-0.027,26.246
4811,0.062,-0.493,10.083,-0.012,0.006,-0.027,26.246
4821,0.062,-0.474,10.098,-0.012,0.006,-0.027,26.242
4831,0.057,-0.483,10.088,-0.012,0.006,-0.027,26.242
4841,0.067,-0.502,10.083,-0.012,0.006,-0.027,26.219
4851,0.033,-0.502,10.093,-0.012,0.006,-0.027,26.219
4861,0.062,-0.498,10.093,-0.011,0.006,-0.027,26.254
4871,0.043,-0.474,10.088,-0.012,0.006,-0.027,26.254
4881,0.072,-0.474,10.083,-0.012,0.006,-0.027,26.219
4891,0.072,-0.493,10.088,-0.011,0.006,-0.027,26.219
4901,0.062,-0.493,10.083,-0.012,0.006,-0.027,26.242
4911,0.086,-0.498,10.083,-0.012,0.006,-0.027,26.242
4921,0.043,-0.488,10.102,-0.012,0.006,-0.027,26.234
4931,0.048,-0.507,10.088,-0.013,0.006,-0.027,26.234
4941,0.062,-0.483,10.098,-0.012,0.006,-0.027,26.223
4951,0.057,-0.507,10.083,-0.011,0.006,-0.027,26.223
4961,0.029,-0.517,10.079,-0.012,0.005,-0.027,26.266
4971,0.048,-0.488,10.045,-0.012,0.005,-0.027,26.266
4981,0.053,-0.517,10.088,-0.011,0.006,-0.027,26.211
4991,0.062,-0.493,10.098,-0.012,0.006,-0.027,26.211
5001,0.048,-0.507,10.093,-0.013,0.005,-0.027,26.262
5011,0.048,-0.488,10.102,-0.012,0.006,-0.027,26.262
5021,0.057,-0.502,10.093,-0.013,0.006,-0.027,26.262
5031,0.048,-0.469,10.093,-0.012,0.006,-0.026,26.262
5041,0.072,-0.488,10.069,-0.012,0.006,-0.026,26.242
5051,0.077,-0.488,10.083,-0.012,0.006,-0.026,26.242
5061,0.062,-0.488,10.093,-0.012,0.006,-0.027,26.160
5071,0.067,-0.498,10.093,-0.012,0.006,-0.027,26.160
5081,0.057,-0.488,10.088,-0.012,0.005,-0.027,26.230
5091,0.029,-0.493,10.079,-0.012,0.006,-0.027,26.230
5101,0.033,-0.488,10.107,-0.012,0.006,-0.027,26.242
5111,0.033,-0.517,10.083,-0.012,0.006,-0.027,26.242
5121,0.057,-0.483,10.088,-0.012,0.006,-0.027,26.230
5131,0.062,-0.507,10.079,-0.013,0.006,-0.027,26.230
5141,0.053,-0.498,10.079,-0.013,0.005,-0.027,26.273
5151,0.077,-0.493,10.083,-0.013,0.007,-0.027,26.273
5161,0.057,-0.493,10.079,-0.012,0.006,-0.026,26.227
5171,0.072,-0.507,10.088,-0.012,0.006,-0.026,26.227
5181,0.043,-0.493,10.074,-0.011,0.005,-0.027,26.215
5191,0.053,-0.507,10.102,-0.011,0.006,-0.027,26.215
5201,0.038,-0.469,10.107,-0.012,0.006,-0.027,26.266
5211,0.062,-0.479,10.088,-0.012,0.005,-0.027,26.266
5221,0.053,-0.502,10.074,-0.012,0.006,-0.027,26.211
5231,0.038,-0.493,10.074,-0.012,0.007,-0.027,26.211
5241,0.048,-0.488,10.088,-0.013,0.006,-0.026,26.258
5251,0.038,-0.493,10.069,-0.013,0.006,-0.027,26.258
5261,0.038,-0.507,10.064,-0.012,0.006,-0.027,26.230
5271,0.062,-0.498,10.088,-0.012,0.005,-0.027,26.230
5281,0.072,-0.502,10.088,-0.011,0.006,-0.026,26.262
5291,0.057,-0.507,10.083,-0.012,0.006,-0.027,26.262
5301,0.062,-0.507,10.064,-0.012,0.006,-0.027,26.238
5311,0.048,-0.507,10.083,-0.011,0.006,-0.027,26.238
5321,0.038,-0.493,10.088,-0.012,0.005,-0.027,26.223
5331,0.053,-0.502,10.083,-0.012,0.005,-0.027,26.223
5341,0.053,-0.502,10.088,-0.013,0.006,-0.026,26.227
5351,0.033,-0.493,10.093,-0.012,0.006,-0.026,26.227
5361,0.029,-0.488,10.088,-0.011,0.006,-0.027,26.250
5371,0.033,-0.493,10.083,-0.012,0.006,-0.027,26.250
5381,0.053,-0.507,10.093,-0.012,0.006,-0.027,26.273
5391,0.062,-0.498,10.098,-0.012,0.006,-0.027,26.273
5401,0.057,-0.483,10.074,-0.012,0.006,-0.027,26.211
5411,0.057,-0.488,10.083,-0.012,0.006,-0.027,26.211
5421,0.081,-0.488,10.079,-0.012,0.005,-0.027,26.238
5431,0.081,-0.502,10.088,-0.013,0.006,-0.027,26.238
5441,0.067,-0.493,10.102,-0.012,0.007,-0.027,26.258
5451,0.077,-0.522,10.098,-0.013,0.005,-0.027,26.258
5461,0.081,-0.507,10.083,-0.012,0.006,-0.027,26.227
5471,0.053,-0.507,10.098,-0.012,0.006,-0.027,26.227
5481,0.072,-0.483,10.093,-0.012,0.005,-0.026,26.215
5501,0.053,-0.512,10.093,-0.013,0.006,-0.027,26.227
5511,0.062,-0.498,10.088,-0.012,0.006,-0.027,26.223
5521,0.062,-0.488,10.088,-0.012,0.006,-0.027,26.223
5531,0.062,-0.507,10.045,-0.012,0.006,-0.027,26.219
5541,0.072,-0.512,10.122,-0.012,0.005,-0.027,26.219
5551,0.067,-0.488,10.055,-0.012,0.007,-0.026,26.258
5561,0.048,-0.493,10.107,-0.012,0.005,-0.027,26.258
5571,0.043,-0.502,10.098,-0.012,0.005,-0.027,26.230
5581,0.053,-0.498,10.088,-0.013,0.006,-0.027,26.230
5591,0.048,-0.502,10.083,-0.012,0.006,-0.026,26.246
5601,0.057,-0.493,10.107,-0.011,0.006,-0.027,26.246
5611,0.029,-0.493,10.083,-0.012,0.006,-0.026,26.242
5621,0.038,-0.512,10.102,-0.012,0.006,-0.027,26.242
